,num_rows,num_cols,min_per_col,max_per_col,mean_per_col,median_per_col,total_missing_values
"2020 
3rd quarter",19,95,-233.35,11643.71,5687.583157894737,9072.45,0
"2020 
4th quarter",19,95,-304.92,12309.96,5931.217894736841,9366.94,0
"2021
3rd quarter",19,95,-270.0,13282.33,5948.733157894737,7983.33,0
"2021 
1st quarter",19,95,-258.96,11698.39,5018.588947368421,6593.28,0
"2021 
2nd quarter",19,95,-142.91,12299.76,5445.848947368421,6881.27,0
"2021 
4th quarter",19,95,-158.78,13416.65,6138.6884210526305,8400.65,0
"2022
1st quarter",19,95,-87.11,13746.11,6151.704210526315,8111.0,0
2022 2nd quarter,19,95,-204.03,13861.39,5911.183684210527,6857.0,0
2022 3nd quarter [provisional],19,95,-629.24,13383.71,5641.384736842105,6193.0,0
Column1,19,95,Crude Oil & NGLs,Transformation,,,0
